season,comp,competition_type,Date,HomeTeam,AwayTeam,FTR,FTHG,FTAG,HxG,AxG,elo_h,elo_a,elo_diff,xelo_h,xelo_a,xelo_diff,elo_h_s,elo_a_s,elo_diff_s,xelo_h_s,xelo_a_s,xelo_diff_s,fh_pts,fh_gf,fh_ga,fh_xgf,fh_xga,fa_pts,fa_gf,fa_ga,fa_xgf,fa_xga,all_h_pts,all_a_pts,all_h_xgd,all_a_xgd,days_rest_h,days_rest_a,h2h_h_pts,promoted_h,promoted_a,value_log_ratio,age_gap,h_momentum,a_momentum,elo_exp_h,xelo_exp_h,h_att,a_att,form_pts_gap,mkt_pH,mkt_pD,mkt_pA
2020-21,Premier League,league,2020-09-20,Chelsea,Liverpool,A,0.0,2.0,0.904183,2.25211,1515.6213763569797,1506.7795411980826,73.84183515889708,1498.4460855323239,1513.2720178430238,50.174067689300045,1515.6213763569797,1506.7795411980826,73.84183515889708,1498.4460855323239,1513.2720178430238,50.174067689300045,,,,,,,,,,,,,,,6.0,8.0,,,,-0.0203673028244337,-0.8436853920508014,,,0.6046952850186357,0.5717084860958672,,,,0.30379177811242725,0.25724303791778114,0.4389651839697917
2020-21,Premier League,league,2020-09-20,Leicester,Burnley,H,4.0,2.0,0.987365,1.52404,1519.7119822707123,1500.0,84.71198227071227,1518.2249475072467,1500.0,83.22494750724672,1519.7119822707123,1500.0,84.71198227071227,1518.2249475072467,1500.0,83.22494750724672,,,,,,,,,,,,,,,7.0,3.0,,,,1.284941866859603,-1.796649993935489,,,0.6195506419491112,0.6175309157517854,,,,0.5887357780936745,0.24111540660620334,0.17014881530012224
2020-21,Premier League,league,2020-09-21,Wolves,Man City,A,1.0,3.0,0.727677,2.07651,1505.479424504513,1500.0,70.47942450451296,1497.2488300066104,1500.0,62.24883000661043,1505.479424504513,1500.0,70.47942450451296,1497.2488300066104,1500.0,62.24883000661043,,,,,,,,,,,,,,,4.0,,,,,-0.947454343011266,0.08238556532477759,,,0.6000592959248344,0.588636857522071,,,,0.15693339174313428,0.22042828127598865,0.622638326980877
2020-21,Premier League,league,2020-09-21,Aston Villa,Sheffield United,H,1.0,0.0,0.80527,0.849709,1515.6213763569797,1484.3786236430203,96.24275271395936,1515.6213763569797,1492.7613448312502,87.86003152572948,1515.6213763569797,1484.3786236430203,96.24275271395936,1515.6213763569797,1492.7613448312502,87.86003152572948,,,,,,,,,,,,,,,6.0,4.0,,,,1.10248076544603,-1.6839791734094653,,,0.6350672524344761,0.6238126980651402,,,,0.35273563625105053,0.2996594276615508,0.3476049360873989
2020-21,Bundesliga,league,2020-09-25,Hertha,Ein Frankfurt,A,1.0,3.0,1.55994,1.62111,1513.745736622809,1509.8559911353561,68.88974548745296,1507.1274738015852,1519.4530056799458,52.67446812163939,1513.745736622809,1509.8559911353561,68.88974548745296,1507.1274738015852,1519.4530056799458,52.67446812163939,,,,,,,,,,,,,,,6.0,6.0,,,,-0.3020607664660116,-1.6919710921257938,,,0.5978611844254652,0.575229144280924,,,,0.4204736578935407,0.25564798399927274,0.32387835810718674
2020-21,Premier League,league,2020-09-26,West Brom,Chelsea,D,3.0,3.0,0.911185,2.36046,1482.520232564955,1518.7885108917792,28.731721673175798,1481.9388390757993,1506.58879907435,40.350040001449315,1482.520232564955,1518.7885108917792,28.731721673175798,1481.9388390757993,1506.58879907435,40.350040001449315,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.7843323333333334,1.6519366666666666,,,,,,1.0,2.0,-0.8625014999999998,1.4932943333333337,4.0,3.0,,,,-1.7794893766362405,0.45969552870195685,-0.0695,-0.2122,0.5412542719973714,0.5578087057562638,0.4609154166666668,1.4932943333333337,-1.0,0.11611099564893837,0.19058856656319767,0.693300437787864
2020-21,Premier League,league,2020-09-26,Crystal Palace,Everton,A,1.0,2.0,0.443115,2.27189,1522.1043744128408,1552.8061026425041,34.29827177033667,1509.6854390882686,1550.5616621491326,24.12377693913595,1522.1043744128408,1552.8061026425041,34.29827177033667,1509.6854390882686,1550.5616621491326,24.12377693913595,,,,,,,,,,,2.3333333333333335,3.0,0.3167366666666668,2.57304475,7.0,3.0,,,,-1.0000606149396138,2.6114267735973016,0.073,0.131,0.5491994631256838,0.5346612224132578,0.3167366666666668,2.57304475,-0.6666666666666665,0.25960460312776634,0.28853644142814994,0.4518589554440838
2020-21,Premier League,league,2020-09-26,Brighton,Man United,A,2.0,3.0,2.97659,1.57583,1536.0187714331303,1504.9484153674914,96.07035606563886,1543.6494336484677,1511.560565789731,97.08886785873665,1536.0187714331303,1504.9484153674914,96.07035606563886,1543.6494336484677,1511.560565789731,97.08886785873665,,,,,,,,,,,2.25,,1.8820279999999998,,3.0,4.0,,,,-1.0367990952831787,0.10139813937950493,0.0879,,0.6348372273217232,0.6361953099711632,1.8820279999999998,,,0.1980982567353407,0.2551505546751189,0.5467511885895404
2020-21,La Liga,league,2020-09-26,Betis,Real Madrid,A,2.0,3.0,1.41465,3.86499,1520.1957756915428,1500.0,85.19577569154285,1503.2013801658286,1500.6981785742257,67.50320159160287,1520.1957756915428,1500.0,85.19577569154285,1503.2013801658286,1500.6981785742257,67.50320159160287,,,,,,,,,,,,,,,6.0,6.0,,,,-1.2520551152273833,0.04404839825527063,0.0055,,0.620206854407415,0.5959407356816552,,,,0.22958915624671639,0.2513397078911422,0.5190711358621415
2020-21,La Liga,league,2020-09-26,Elche,Sociedad,A,0.0,3.0,1.23661,3.3738,1500.0,1500.0,65.0,1500.0,1495.0378800836306,69.96211991636937,1500.0,1500.0,65.0,1500.0,1495.0378800836306,69.96211991636937,,,,,,,,,,,,,,,,6.0,,,,-2.211663176422295,3.0386131802524012,,-0.1107,0.5924662305843318,0.5993444360780732,,,,0.22666797104284872,0.2876149481510467,0.48571708080610443
