player_key,player,squad,src_league,pos,season,age,n_real_seasons,forecast_1y_eur,forecast_2y_eur
carl johansson,Carl Johansson,Holstein Kiel,GER1,DF,2024-25,30.0,1,768368.0,718720.0
carl klaus,Carl Klaus,Union Berlin,GER1,GK,2025-26,31.0,1,572074.0,554628.0
carl starfelt,Carl Starfelt,Celta Vigo,ESP1,DF,2026-27,31.0,4,2819267.0,2017909.0
carlens arcus,Carlens Arcus,Angers,FRA1,DF,2026-27,30.0,3,1420190.0,1211492.0
carles alena,Carles Aleñá,Alavés,ESP1,MF,2026-27,28.0,9,2656797.0,2402848.0
carles perez,Carles Pérez,Getafe,ESP1,MF,2024-25,26.0,5,3132228.0,3082800.0
carlo,Carlo,Villarreal,ESP1,MF,2021-22,20.0,1,1113279.0,1576186.0
carlo boukhalfa,Carlo Boukhalfa,St Pauli,GER1,MF,2024-25,25.0,1,2943753.0,3065642.0
carlo pinsoglio,Carlo Pinsoglio,Juventus,ITA1,MF,2023-24,33.0,3,179138.0,169365.0
carlos akapo,Carlos Akapo,Cádiz,ESP1,DF,2021-22,28.0,2,1141192.0,1146177.0
carlos alcaraz,Carlos Alcaraz,Everton,ENG1,MF,2026-27,24.0,5,14155492.0,12149758.0
carlos alvarez,Carlos Álvarez,Levante,ESP1,MF,2026-27,23.0,3,9821162.0,9242443.0
carlos augusto,Carlos Augusto,Inter,ITA1,DF,2026-27,27.0,5,14246961.0,10382238.0
carlos bacca,Carlos Bacca,Granada,ESP1,FW,2021-22,34.0,2,918289.0,692180.0
carlos baleba,Carlos Baleba,Brighton,ENG1,MF,2025-26,21.0,4,35874339.0,29503322.0
carlos ballestero,Carlos Ballestero,Alavés,ESP1,DF,2025-26,21.0,1,300000.0,400000.0
carlos benavidez,Carlos Benavídez,Alavés,ESP1,MF,2026-27,28.0,1,1488015.0,1468039.0
carlos clerc,Carlos Clerc,Elche,ESP1,DF,2022-23,30.0,3,1646801.0,1373950.0
carlos dominguez,Carlos Dominguez,Celta Vigo,ESP1,DF,2025-26,24.0,6,1864102.0,2128619.0
carlos dotor,Carlos Dotor,Celta Vigo,ESP1,MF,2023-24,22.0,1,3232254.0,3711383.0
carlos espi,Carlos Espí,Real Madrid,ESP1,FW,2026-27,21.0,2,19021509.0,17404237.0
carlos fernandez,Carlos Fernández,Real Sociedad,ESP1,FW,2023-24,27.0,4,3363485.0,3257627.0
carlos forbs,Carlos Forbs,Wolves,ENG1,MF,2024-25,20.0,1,8202703.0,8607110.0
carlos gruezo,Carlos Gruezo,Augsburg,GER1,MF,2022-23,27.0,3,3222073.0,2997370.0
carlos guirao,Carlos Guirao,Real Betis,ESP1,MF,2024-25,21.0,1,900000.0,1200000.0
carlos macia,Carlos Macià,Villarreal,ESP1,MF,2026-27,18.0,2,4423927.0,5246041.0
carlos martin,Carlos Martín,Atlético Madrid,ESP1,MF,2026-27,24.0,3,2109265.0,2408756.0
