league,season,team,player,league_id,season_id,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup,src_league
ENG-Premier League,2020-21,Brighton,Lewis Dunk,1,2020,220,6048,D,33,2934,5,2.7090756595134735,5,2.7090756595134735,0,0.8306384868919849,32,10,5,2,8.376231810078025,7.971444236114621,ENG1
ENG-Premier League,2020-21,Brighton,Neal Maupay,1,2020,220,3621,F M S,33,2526,8,13.77353422343731,5,10.728933367878199,2,4.277407944202423,71,32,1,1,17.15754107758403,3.381784388795495,ENG1
ENG-Premier League,2020-21,Brighton,Pascal Groß,1,2020,220,239,D M S,34,2469,3,5.0105255879461765,0,1.9658873826265335,8,5.368288877420127,32,69,3,0,10.404416730627418,6.732295922935009,ENG1
ENG-Premier League,2020-21,Brighton,Percy Tau,1,2020,220,9249,M S,3,100,0,0.0,0,0.0,1,0.36736520007252693,0,3,0,0,0.44251900166273117,0.08582680113613605,ENG1
ENG-Premier League,2020-21,Brighton,Reda Khadra,1,2020,220,9250,S,1,3,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,ENG1
ENG-Premier League,2020-21,Brighton,Robert Sánchez,1,2020,220,9098,GK,27,2430,0,0.0,0,0.0,0,0.025614900514483452,0,1,2,0,3.148129854351282,3.122514847666025,ENG1
ENG-Premier League,2020-21,Brighton,Solly March,1,2020,220,6049,D M S,21,1684,2,1.78360197506845,2,1.78360197506845,1,1.6788202039897442,22,27,0,0,8.322111636400223,5.6805479265749454,ENG1
ENG-Premier League,2020-21,Brighton,Steven Alzate,1,2020,220,8020,D M S,15,905,1,0.8340353071689606,1,0.8340353071689606,0,0.9228017721325159,7,11,2,0,3.5195548171177506,2.386690203100443,ENG1
ENG-Premier League,2020-21,Brighton,Tariq Lamptey,1,2020,220,8226,D M,11,904,1,0.7030035890638828,1,0.7030035890638828,1,0.8089802078902721,6,10,2,1,4.56888796761632,3.6915879994630814,ENG1
ENG-Premier League,2020-21,Brighton,Yves Bissouma,1,2020,220,5609,M S,36,3121,1,1.0768232634291053,1,1.0768232634291053,0,1.081232002004981,42,16,8,1,9.739855950698256,8.210505489259958,ENG1
ENG-Premier League,2020-21,Burnley,Ashley Barnes,1,2020,92,4422,F M S,22,1342,3,3.874067099764943,2,3.1128980834037066,0,0.8005466284230351,38,19,4,0,4.1903143133968115,1.1986288204789162,ENG1
ENG-Premier League,2020-21,Burnley,Ashley Westwood,1,2020,92,669,M,38,3412,3,1.0059907007962465,3,1.0059907007962465,3,6.534145314246416,19,52,7,0,10.02816303446889,6.304797999560833,ENG1
ENG-Premier League,2020-21,Burnley,Bailey Peacock-Farrell,1,2020,92,8482,GK,4,360,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0077309198677539825,0.0077309198677539825,ENG1
ENG-Premier League,2020-21,Burnley,Ben Mee,1,2020,92,1654,D,30,2695,2,1.6194160860031843,2,1.6194160860031843,0,0.8052045041695237,22,7,3,0,2.1182813867926598,2.015906086191535,ENG1
